Abstrac,label
"Ketua Panpel #Arema FC ""Abdul Haris"" Menuntut Ketua Umum #PSSI  https://t.co/ubtiGMq4qV lewat @YouTube",pro
TGIPF Curiga Ada Kekuatan Besar yang Memaksa Laga Arema FC vs Persebaya Surabaya Digelar Malam Hari  https://t.co/0hwfH6arED  https://t.co/0oRESXOrhM,pro
"Terkait laga malam hari Arema FC Vs Persebaya, PT LIB: Itu permintaan Indosiar  https://t.co/IxvRteDywQ",kontra
Identitas Suporter Arema FC yang Lakukan Perusakan saat Tragedi Kanjuruhan Dikantongi Polisi  #aremafc #TragediKanjuruhan  https://t.co/fu8mD7sXAs,pro
@AremaFC @zomet13 Innalilahi wa Inna ilaihi Raji'un,kontra
"@AremaFC Sedih dengarnya, sementara pihak2 yg bertanggung jawab masih sibuk cuci tangan 😢😢😢",kontra
@oiholig @AremaFC mugi mugi khusnul khotimah mas,kontra
Lek gak boikot liga yo mboh mulai galatama dikibiri dilebur karo persërikatan 1994-2022 sik gak paham ae karo federäsi. Sampe kiamat pancet ae kelakuane titinono. @arema_98 @AREMA1986Merch @lapangan_hi7au @rodrigosantono @AremaFC,pro
"Diperiksa Lagi di Tragedi Kanjuruhan, Panpel Arema FC Abdul Haris: Kita Taat Hukum  https://t.co/SzpOUH3AWn baca juga berita dari media lainnya di Indonesia di  https://t.co/GkwQxScnBB   #malang #tersangka #arema #jawatimur #tragedikanjuruhan #vivabola #aremafc",kontra
"Ternyata penonton di stadion Kanjuruhan pada hari nahas itu, melebihi kuota. Panitia pelaksana (Panpel) pertandingan Arema FC vs Persebaya blak-blakan terkait itu. #Kanjuruhan #TragediKanjuruhan  https://t.co/JBhpCNjQEw",kontra
"Diperiksa Lagi di Tragedi Kanjuruhan, Panpel Arema FC Abdul Haris: Kita Taat Hukum  https://t.co/pp8o1WGVYf",pro
Saling tunjuk penyusunan jadwal pertandingan Arema FC versus Persebaya pun terjadi usai laga tersebut rusuh sampai menewaskan 132 orang.  https://t.co/YzaCQaQoLV,pro
@AremaFC Innalillahi wa inna ilaihi roji'un,kontra
@AremaFC Aamiin YRA,kontra
Panpel Arema FC Terang-terangan Sebut Nama Ketua PSSI untuk Diseret Jadi Tersangka Tragedi Kanjuruhan  https://t.co/7dwumIMA7X,pro
Indosiar Jawab Tudingan Pertandingan Digelar Malam Demi Iklan Rokok: Indosiar selaku stasiun televisi yang menyiarkan pertandingan Persebaya vs Arema FC membantah dugaan bahwa laga…  https://t.co/Aw31l31FuD #News #iklanrokokliga1 #iklanrokok #tragedikanjuruhanmalang #indosiar,pro
Saling tunjuk penyusunan jadwal pertandingan Arema FC versus Persebaya pun terjadi usai laga tersebut rusuh sampai menewaskan 132 orang.  https://t.co/CTbbjXMeJa,kontra
"Terkait Laga Malam Hari Arema FC Vs Persebaya, PT LIB: Itu Permintaan Indosiar  https://t.co/9rABoUQtuT baca juga berita dari media lainnya di Indonesia di  https://t.co/GkwQxScnBB   #tragedikanjuruhan #ptlib #ptligaindonesiabaru #indonesia #liga120222023",pro
@AremaFC Innalilahi wa innailaihi rojiun semoga Khusnul khatimah,kontra
"@detikcom Terus Indosiar bilang, ""Jam tayang laga Arema FC vs Persebaya merupakan permintaan penonton/supporter"" Muter aja terus kyk lingkaran setan",kontra
