"Created-At";"From-User";"From-User-Id";"To-User";"To-User-Id";"Language";"Source";"Text";"Geo-Location-Latitude";"Geo-Location-Longitude";"Retweet-Count";"Id"
2023-06-05 15:01:05;"Salika Travel";"2608552052";;"-1";"in";"<a href='https://buffer.com' rel='nofollow'>Buffer</a>";"Terbang Sehat & Nyaman dari Malang ke Jakarta Periode Juni 2023 by Garuda Indonesia

#SalikaTravel
#FlightInfo
#GarudaIndonesia https://t.co/voMkensSaG";;;0;"1665629801044951040"
2023-06-05 15:00:02;"Sportstars";"2916393212";;"-1";"in";"<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>";"Presiden Jokowi mengundang para pemain Timnas Indonesia U-22 di SEA Games 2023 ke Istana Negara hari ini. 

Undangan tersebut merupakan kegiatan pemberian penghargaan atas prestasi yang telah dicapai oleh Garuda Muda.

#TimnasIndonesia
https://t.co/lHZdQ8fi76";;;0;"1665629536942161923"
2023-06-05 15:00:00;"sportstarsid";"1376158834327101446";;"-1";"in";"<a href='https://about.twitter.com/products/tweetdeck' rel='nofollow'>TweetDeck</a>";"Presiden Jokowi mengundang para pemain Timnas Indonesia U-22 di SEA Games 2023 ke Istana Negara hari ini. 

Undangan tersebut merupakan kegiatan pemberian penghargaan atas prestasi yang telah dicapai oleh Garuda Muda.

#TimnasIndonesia
https://t.co/XeC0tXdCNb";;;0;"1665629531573563392"
2023-06-05 14:58:55;"Kevin";"1655371706666557445";;"-1";"in";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @Soemanbudi: Senin ceria ini mah! Hari yang ditunggu tunggu buat tiket Argentina Indonesia, Jgn sampe lepas bang messi, Timnas Garuda te…";;;4;"1665629259241766913"
2023-06-05 14:55:47;"BimaByru";"1293873072395571200";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @al_lasan: Erick Thohir dianggap orang terpandang di Argentina dan pernah jd bos Inter Milan

Tapia memilih Indonesia krn sepak bola sku…";;;19;"1665628468175069186"
2023-06-05 14:54:02;"BimaByru";"1293873072395571200";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @serakyut: Ketum PSSI @erickthohir Siapkan Timnas Bermental Juara??

Tinggal menghitung hari, Timnas Indonesia akan berhadapan melawan A…";;;1;"1665628026917502976"
2023-06-05 14:51:55;"Maria Chrismastyani";"1564855595357720576";"chumeitian_";"1564855595357720576";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"Ini lohh guys, Garuda Indonesia Airlines juga digininiin sama maskapai mahal worldwide segudang. Sama kan, kalo ke europe suka pending jadwal. BUKAN DELAY INI MAH PENDING. APA DICANCEL. Jadi kaya sekelas Air Asia versi lengkap kelasnya sampai First Class.";;;0;"1665627494249271296"
2023-06-05 14:51:48;"janji ga early exit?";"1402783050635747329";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @INABadminton: Indonesia mengirimkan kekuatan terbaik pada turnamen bulutangkis Singapura Open, 6-11Juni 2023. Skuad Merah-Putih terbang…";;;586;"1665627468324118528"
2023-06-05 14:51:38;"Ary Prasetyo";"435004096";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @03__nakula: Sepak bola Indonesia sudah berada di jalur yang benar. Jika konsisten, insyaallah timnas Garuda mampu bersaing dengan negar…";;;6;"1665627425940840448"
2023-06-05 14:45:48;"PT SNG";"1656187575210766337";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"Alhamdulillah, program CSR dalam rangka
Grand Opening Sales Outlet Garuda Indonesia dan kantor biro Gift Travel
kepada Yayasan Al - Barokah Sumurboto berupa bantuan tunai utk membantu anak yatim piatu dan dhuafa sudah terlaksana . Semoga bermanfaat buat semuanya. 
AMIN https://t.co/2eqeYBEKzZ";;;0;"1665625957128912897"
2023-06-05 14:42:12;"Alif Mr.BoTaX";"1295010710833963010";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @Baba97Alie: Erick Thohir mengungkapkan, bahwa mendatangkan Roberto Carlos cs ke Indonesia adalah untuk memupuk mental serta mimpi Garud…";;;10;"1665625052073558016"
2023-06-05 14:40:58;"BU LURAH Idaman Warga?";"1277875705284399104";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"Ketum PSSI @erickthohir Siapkan Timnas Bermental Juara??

Tinggal menghitung hari, Timnas Indonesia akan berhadapan melawan Argentina.Diharapkan para Skuad Garuda dapat belajar banyak dari negara yang sudah berhasil membuat Timnasnya menjadi Juara Dunia. 
#GueBarengErickThohir https://t.co/LMmKakTACu";;;1;"1665624740835504130"
2023-06-05 14:37:09;"Bukan Siapa2";"1254359179411611648";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"Berkat koneksi yg dimiliki oleh Ketum PSSI @erickthohir , Argentina kini mempunyai kesmekatan utk bermain di Indonesia utk bertanding melawan Timnas Garuda. 

#GueBarengErickThohir https://t.co/McfNfQLTsX";;;0;"1665623778024656897"
2023-06-05 14:33:48;"Kims";"223346547";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @IndonesiaGaruda: Simpan boarding pass Anda, nikmati berbagai penawaran menarik dengan menunjukkan boarding pass Anda ke berbagai mercha…";;;3;"1665622934440820736"
2023-06-05 14:33:40;"???????™";"1275834116445896704";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @Selena_Lauraaa: Ketua Umum PSSI Erick Thohir menjabarkan  blue print 'Garuda Mendunia 2045' dalam Kongres Biasa Tahunan PSSI.
Blueprint…";;;10;"1665622901544869888"
2023-06-05 14:33:09;"Stephanie";"1655396685936472064";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @Soemanbudi: Senin ceria ini mah! Hari yang ditunggu tunggu buat tiket Argentina Indonesia, Jgn sampe lepas bang messi, Timnas Garuda te…";;;4;"1665622773748695042"
2023-06-05 14:33:02;"Jokowi BangET?";"2355332558";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @al_lasan: Erick Thohir dianggap orang terpandang di Argentina dan pernah jd bos Inter Milan

Tapia memilih Indonesia krn sepak bola sku…";;;19;"1665622743596027904"
2023-06-05 14:32:14;"Penggila Bola";"1655367889057382400";;"-1";"in";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @Soemanbudi: Senin ceria ini mah! Hari yang ditunggu tunggu buat tiket Argentina Indonesia, Jgn sampe lepas bang messi, Timnas Garuda te…";;;4;"1665622540704702465"
2023-06-05 14:31:11;"Jokowi BangET?";"2355332558";;"-1";"in";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @Nopri_ancha: Seakan tak kehabisan akal untuk Garuda Muda Indonesia.
Pak @erickthohir Beri Motivasi, dengan menghadirkan 4 Legenda Sepak…";;;6;"1665622276967133184"
